"Question - max 120 characters","Answer 1 - max 75 characters","Answer 2 - max 75 characters","Answer 3 - max 75 characters","Answer 4 - max 75 characters","Time limit (sec) – 5, 10, 20, 30, 60, 90, 120, or 240 secs","Correct answer(s) - choose at least one"
"Què és l’atmosfera?","Una capa de gasos que envolta la Terra.","Una capa de núvols.","Una capa de vapor d'aigua.","Una capa d'oxigen.","60","1"
"Quins són els principals gasos que componen l’atmosfera?","Oxigen i nitrogen.","Oxigen i hidrogen.","Nitrogen i diòxid de carboni.","Hidrogen i argó.","60","1"
"Per què és important l’atmosfera per a la vida a la Terra?","Proporciona oxigen per respirar.","Manté la temperatura moderada.","Filtra radiació perjudicial.","Permet la circulació de l'aire.","60","1,2,3"
"Quina és la capa inferior de l’atmosfera?","Troposfera.","Estratosfera.","Mesosfera.","Termosfera.","60","1"
"Per què és important la troposfera?","És la capa on es produeixen els fenòmens meteorològics.","Conté la major part de l'oxigen.","És la capa més alta.","Només conté vapor d'aigua.","60","1"
"Quina capa de l’atmosfera conté l’ozó?","Estratosfera.","Mesosfera.","Troposfera.","Termosfera.","60","1"
"Quin paper té l’ozó en la protecció de la vida a la Terra?","Filtra la radiació ultraviolada.","Augmenta la temperatura.","Genera oxigen.","Genera oxidants.","60","1"
"Com ajuda l’atmosfera a regular la temperatura terrestre?","Reparteix la calor uniformement.","Refreda la superfície terrestre.","Absorbe l'energia solar.","Protegeix de vents extrems.","60","1"
"Com evita l’atmosfera que la Terra es refrede massa durant la nit?","Manté la calor de dia.","Evita la pèrdua excessiva de calor.","Reflexiona la radiació de la lluna.","Absorbe la llum solar.","60","2"
"De quina manera facilita l’atmosfera la circulació de la calor pel planeta?","Distribueix la calor a través dels vents.","Reflexiona els rajos solars.","Evapora l'aigua.","Genera núvols que regulen la temperatura.","60","1"
"Què és el temps atmosfèric?","Conjunt de fenòmens meteorològics en un lloc determinat.","Estat mitjà del clima.","Projecció del clima a llarg termini.","Fenòmens de l'ozó.","60","1"
"Per què diem que el temps atmosfèric és canviant?","Perquè varia constantment.","Perquè depèn de l'humitat.","Perquè no es pot predir.","Perquè és global.","60","1"
"Què és el clima?","L'estat mitjà del temps en una regió.","Un conjunt de fenòmens meteorològics.","La temperatura diària.","Les condicions del vent.","60","1"
"En què es diferencien el temps atmosfèric i el clima?","El temps es mesura a curt termini i el clima a llarg.","El temps és constant, mentre que el clima canvia.","El temps és previsible, el clima no.","No hi ha diferència.","60","1"
"Com es determina el clima d’una regió?","Mitjançant la temperatura i les precipitacions.","Amb el tipus de vents.","A partir de la humitat de l'aire.","Mitjançant els núvols.","60","1"
"Posa un exemple de diferència entre temps atmosfèric i clima.","Temps: pluja d’avui; Clima: calor a l'estiu.","Temps: sol; Clima: fred a l'hivern.","Temps: nuvolós; Clima: ventós.","Temps: nevada; Clima: calor a l’estiu.","60","1"
"Per què és important conèixer el clima d’un lloc?","Per adaptar les activitats humanes.","Per construir cases de forma correcta.","Per predir el temps de manera més precisa.","Per evitar els desastres naturals.","60","1"
"Quins són els principals elements del clima?","Temperatura, precipitacions, humitat, vents.","Temperatura, radiació, vent.","Precipitacions, núvols, temperatura.","Humitat, radiació, clima.","60","1"
"Com es mesura la temperatura de l’aire?","Amb un termòmetre.","Amb un baròmetre.","Amb un higròmetre.","Amb un anemòmetre.","60","1"
"Quina unitat de mesura s’utilitza per a la temperatura?","Grau Celsius (°C).","Kelvin (K).","Grau Fahrenheit (°F).","Joule (J).","60","1"
"Amb quin instrument es mesuren les precipitacions?","Pluviòmetre.","Baròmetre.","Termòmetre.","Anemòmetre.","60","1"
"En quina unitat es mesuren les precipitacions?","Mil·límetres (mm).","Centímetres (cm).","Llitres per metre quadrat (l/m²).","Grau Celsius (°C).","60","1"
"Per què són importants les precipitacions en el clima d’una regió?","Determinen la disponibilitat d’aigua.","Regulen la temperatura.","Afecten la velocitat del vent.","Definen el tipus de clima.","60","1"
"Com influeix la temperatura en el clima d’un lloc?","Afecta les condicions meteorològiques.","Determina el tipus de vegetació.","Controla les precipitacions.","Indica la qualitat de l'aire.","60","1"
"Com influeix la distància a l’equador en el clima?","Més a prop, més calor.","Més lluny, més fred.","No té influència.","Canvia la temperatura només en zones costaneres.","60","1"
"Quines són les principals zones climàtiques del planeta?","Zones càlides, temperades i fredes.","Zones humides, seques i temperades.","Zones polars, ecuatorials i temperades.","Zones subtropicals i polars.","60","1"
"Per què les zones càlides reben més calor?","Perquè estan més a prop de l’equador.","Perquè tenen menys vegetació.","Perquè tenen més núvols.","Perquè tenen més vent.","60","1"
"On es troben les zones temperades i quin clima tenen?","A latitud mitjana, clima moderat.","A prop dels pols, clima fred.","A prop de l’equador, clima càlid.","A prop de les costes, clima oceànic.","60","1"
"Quines característiques tenen les zones fredes?","Baixa temperatura i poca precipitació.","Alta temperatura i molta humitat.","Molt de vent i neu.","Temperatures moderades i molta humitat.","60","1"
"Com afecta la distància a la mar al clima d’una regió?","Les zones costaneres tenen temperatures més suaus.","Les zones interiors són més fredes.","Les zones costaneres són més seques.","Les zones interiors tenen més pluja.","60","1"
"Per què les zones costaneres tenen temperatures més suaus?","Per la capacitat tèrmica de l’aigua.","Per l'efecte del vent.","Per l'efecte de l'ozó.","Per la proximitat de la vegetació.","60","1"
"Com afecta el relleu al clima d’una regió?","Les muntanyes poden bloquejar el vent.","Les muntanyes redueixen la pluja.","Les muntanyes produeixen més calor.","Les muntanyes augmenten la humitat.","60","1"
"Per què a les muntanyes fa més fred que a les zones baixes?","Per l’altitud i la menor pressió atmosfèrica.","Per la proximitat al sol.","Per l'efecte de les corrents oceàniques.","Per la falta d'humitat.","60","1"
"Com influeix l’altitud en les precipitacions?","Com més alta, més pluja.","Com més baixa, més pluja.","Com més alta, menys pluja.","Com més baixa, menys pluja.","60","3"
"Quins són els principals tipus de clima a Espanya?","Mediterrani, oceànic, continental, subtropical.","Tropical, equatorial, àrtic.","Seco, calorós, humit.","Temperat, sec, molt plujós.","60","1"
"Quines són les característiques del clima mediterrani típic?","Estius calorosos i secs, hiverns suaus.","Clima fred i sec.","Estius frescos i humits.","Clima càlid i molt plujós.","60","1"
"En què es diferencia el clima mediterrani d’interior del típic?","Més calor a l'estiu i menys pluja a l'hivern.","Menys calor a l'estiu.","Més pluja a l'estiu.","Menys calor durant tot l'any.","60","1"
"Quines característiques té el clima mediterrani sec?","Estius molt calorosos, hiverns secs i freds.","Estius frescos, hiverns molt plujosos.","Temperatures moderades, poca pluja.","Molt de vent i calor tot l’any.","60","1"
"A quina zona d’Espanya trobem el clima subtropical?","Canàries.","Catalunya.","Galícia.","Andalusia.","60","1"
"Com és el clima oceànic?","Temperatures suaus i moltes precipitacions.","Temperatures extremes i poca pluja.","Temperatures càlides i humides.","Temperatures fredes i molt de vent.","60","1"
"Per què el clima oceànic té precipitacions abundants?","Per la proximitat del mar i els vents humits.","Per la ubicació a prop dels pols.","Per l'efecte del sol directe.","Per la falta de muntanyes.","60","1"
"A quina altitud es considera que un clima és de muntanya?","Més de 2.000 metres.","Més de 1.500 metres.","Més de 1.000 metres.","Més de 3.000 metres.","60","1"
"Quines característiques té el clima de muntanya?","Temperatures baixes, gran amplitud tèrmica.","Temperatures altes, molta humitat.","Clima càlid i constant.","Clima moderat amb poques precipitacions.","60","1"
"Què és el canvi climàtic?","L'augment de la temperatura global i els seus efectes.","Un canvi en les condicions meteorològiques diàries.","Una variació del clima de la Terra a curt termini.","Un canvi a les zones polars.","60","1"
"Quines són les causes naturals del canvi climàtic?","Erupcions volcàniques i variacions del sol.","Desforestació i creixement de la població.","Contaminació per CO2.","Canvis en els vents.","60","1"
"Per què el canvi climàtic s’ha accelerat des del segle XIX?","Per l'augment de les emissions de gasos d'efecte hivernacle.","Per canvis en les condicions naturals.","Per l'augment de l’activitat solar.","Per la desaparició de les glaceres.","60","1"
"Quines accions podem fer per mitigar el canvi climàtic?","Reduir emissions, reciclar, utilitzar energia renovable.","Augmentar la producció de plàstic.","Creixement de la desforestació.","No consumir energia.","60","1"
"Per què és important reduir el consum d’energia i aigua?","Per reduir l'impacte ambiental.","Per evitar l'escassetat d'aigua.","Per millorar la salut pública.","Per evitar la contaminació de l'aire.","60","1"
"Com pot ajudar el reciclatge a combatre el canvi climàtic?","Redueix la necessitat de matèries primeres i l’energia necessària.","Genera més emissions.","Augmenta la quantitat de residus.","Disminueix l’ús de plàstic.","60","1"
"Quins gasos contribueixen a l’efecte hivernacle?","CO2, metà, óxid nitrós.","Oxigen, nitrogen, argó.","Gasos nobles.","Ozono, sulfur.","60","1"
